Campus,Campus.Specialty,Department,Arrived 2022 YTD,Campus Corrected,Campus.Specialty Corrected,Notes
MSDD,Dermatology,309 W 23RD ST DERMATOLOGY,898,,,
MSDD,Endocrinology,309 W 23RD ST ENDOCRINOLOGY,1270,,,
MSDD,Family Medicine,309 W 23RD ST FAMILY MEDICINE,2355,,,
MSDD,Gastroenterology,309 W 23RD ST GASTROENTEROLOGY,0,,,
MSDD,Gastroenterology,309 W 23RD ST GASTROENTOROLOGY,88,,,
MSDD,Internal Medicine,309 W 23RD ST INTERNAL MED,0,,,
MSDD,Internal Medicine,309 W 23RD ST INTERNAL MEDICINE,4012,,,
MSDD,Neurology,309 W 23RD ST NEUROLOGY,491,,,
MSDD,OB/Gyn,309 W 23RD ST OBGYN,0,,,
MSDD,Ophthalmology,309 W 23RD ST OPTHALMOLOGY,163,,,
MSDD,Orthopedics,309 W 23RD ST ORTHOPEDICS,1981,,,
MSDD,Anesthesiology-Pain Mgmt,309 W 23RD ST PAIN FLUOROSCOPY,86,,,
MSDD,Anesthesiology-Pain Mgmt,309 W 23RD ST PAIN MANAGEMENT,177,,,
MSDD,Podiatry,309 W 23RD ST PODIATRY,1153,,,
MSDD,Physical Medicine and Rehab,309 W 23RD ST REHAB FLUOROSCOPY,724,,,
MSDD,Internal Medicine,315 W 50TH ST INTERNAL MEDICINE,1131,,,
MSDD,Occupational Health,317 E 17TH ST OCCUPATIONAL HEALTH,0,,,F/U
MSDD,Occupational Health,50 E 34TH OCCUPATIONAL HEALTH,0,,,F/U
MSDD,Occupational Health,500 W 185TH ST OCCUPATIONAL HEALTH,0,,,F/U
MSDD,Cardiology,518 E 20TH CARDIOLOGY,155,,,
MSDD,Dermatology,518 E 20TH DERMATOLOGY,88,,,
MSDD,Family Medicine,518 E 20TH FAMILY MED,3828,,,
MSDD,Family Medicine,518 E 20TH FAMILY MEDICINE,0,,,
MSDD,Internal Medicine,518 E 20TH INTERNAL MEDICINE,0,,,
MSDD,Orthopedics,518 E 20TH ORTHOPEDICS,119,,,
MSDD,Podiatry,518 E 20TH PODIATRY,230,,,
MSDD,Family Medicine,52 W 8TH ST FAMILY MEDICINE,4456,,,
MSDD,Internal Medicine,52 W 8TH ST INTERNAL MEDICINE,372,,,
MSDD,OB/Gyn,52 W 8TH ST OBGYN,697,,,
MSDD,Gynecology,55 E 34 ST GYN,736,,,
MSDD,Cardiology,55 E 34TH ST CARDIOLOGY,2405,,,
MSDD,Dermatology,55 E 34TH ST DERMATOLOGY,1114,,,
MSDD,Endocrinology,55 E 34TH ST ENDOCRINOLOGY,286,,,
MSDD,ENT-Otolaryngology,55 E 34TH ST ENT,338,,,
MSDD,Family Medicine,55 E 34TH ST FAMILY MEDICINE,1405,,,
MSDD,Gastroenterology,55 E 34TH ST GASTROENTEROLOGY,629,,,
MSDD,Gynecology,55 E 34TH ST GYN,0,,,
MSDD,Internal Medicine,55 E 34TH ST INTERNAL MEDICINE 1ST FL,3626,,,
MSDD,Internal Medicine,55 E 34TH ST INTERNAL MEDICINE JMP,1885,,,
MSDD,Ophthalmology,55 E 34TH ST OPHTHALMOLOGY,1460,,,
MSDD,Orthopedics,55 E 34TH ST ORTHOPEDICS,1803,,,
MSDD,Anesthesiology-Pain Mgmt,55 E 34TH ST PAIN MANAGEMENT,0,,,
MSDD,Podiatry,55 E 34TH ST PODIATRY,785,,,
MSDD,Internal Medicine,55 E 34TH ST PRIMARY CARE 5TH FL,2825,,,
MSDD,Internal Medicine,55 E 34TH ST PRIMARY CARE 5TH FLOOR,0,,,
MSDD,Physical Medicine and Rehab,55 E 34TH ST REHAB FLUOROSCOPY,0,,,
MSDD,Allergy,632 BROADWAY ALLERGY,18,,,
MSDD,Dermatology,632 BROADWAY DERMATOLOGY,218,,,
MSDD,OB/Gyn,632 BROADWAY GYNECOLOGY,639,,,
MSDD,Orthopedics,632 BROADWAY ORTHO SPORTS MED,359,,,
MSDD,Internal Medicine,632 BROADWAY PRIMARY CARE,3556,,,
MSDD,Dermatology,729 7TH AVE DERMATOLOGY,0,,,
