Campus,Campus.Specialty,Department,Arrived 2022 YTD,Campus Corrected,Campus.Specialty Corrected,Notes
MSH-MSDFP,Nuclear Medicine,1468 MADISON AVE NUCLEAR MEDICINE,60,,,
MSH-MSDFP,Orthopedics,1468 MADISON AVE ORTHOPEDICS JOINT REPLACEMENT CLASS,53,,,
MSH-MSDFP,Pediatrics,1468 MADISON AVE PEDS COMPLEX CARE,328,MSH- AMBULATORY CARE,,Corrected by Amy Nelson
MSH-MSDFP,Peds Child Development,1468 MADISON AVE PEDS DDC PSYCH,53,MSH- AMBULATORY CARE,,Corrected by Amy Nelson
MSH-MSDFP,Peds Endocrinology,1468 MADISON AVE PEDS ENDO,1939,MSH- AMBULATORY CARE,,Corrected by Amy Nelson
MSH-MSDFP,Multiple Specialty,1468 MADISON AVE  PEDS HEALTHY LIFESTYLE CLINIC,47,MSH- AMBULATORY CARE,Pediatrics,Corrected by Amy Nelson
NETWORK,Hematology,5 CUBA HILL LABORATORY,8917,,Hematology,Is this an oncology lab? Should this fall under Oncology?
MSH-MSDFP,Pediatric Cardiology,1468 MADISON PEDS CARDIO,3433,,,
MSH-MSDFP,Pulmonary Disease and Critical Care,1468 MADISON PULMONARY LAB,504,,,
MSH-MSDFP,Thoracic Surgery,1468 MADISON THOR SURG,28,,,
MSH-MSDFP,Psychiatry,1468 MADISON WTC PSYCH,1361,,,
MSH-MSDFP,Psychiatry,1470 MADISON AVE PSYCH,99,,,
MSH-MSDFP,OB/Gyn,157 E 72ND ST OB/GYN,1410,,,
MSH-MSDFP,Liver,168 CENTRE ST LIVER DISEAS,82,,,
MSH-MSDFP,Neurosurgery,168 CENTRE ST NEUROSURGERY,89,,,
ONCOLOGY,Multiple Specialty,1470 MADISON THERAPEUTIC INFUSION,417,,Oncology,
MSH-MSDFP,Orthopedics,168 CENTRE ST ORTHOPEDICS,179,,,
MSH-MSDFP,Rheumatology,168 CENTRE ST RHEUM,89,,,
MSH-MSDFP,Transplant Institute,168 CENTRE ST RMTI LVR DIS,98,,,
MSH-MSDFP,Surgery,168 CENTRE ST SURG COLO,809,,,
MSH-MSDFP,Surgery,168 CENTRE ST SURG HEPAT,103,,,
MSH-MSDFP,Thoracic Surgery,168 CENTRE ST THORACICSURG,46,,,
OTHER,Multiple Specialty,150 E 42ND ST DIABETES,0,,Endocrinology,
MSH-MSDFP,Orthopedics,17 E 102 ORTHOPEDICS,563,,,
MSH-MSDFP,Internal Medicine,17 E 102 STUDENT HEALTH,514,,,
MSH-MSDFP,Cardiology,177 E 87TH ST CARDIAC ARRHYTHMIA,1914,,,
MSH-MSDFP,Cardiology,177 E 87TH ST CARDIOLOGY,4188,,,
MSH-MSDFP,Cardiology,177 E 87TH ST NUCLEAR,663,,,
MSH-MSDFP,Gerontology,1802 2ND AVE GERIATRICS,0,,,DEACTIVATE?
MSH-MSDFP,Psychiatry,19 E 98TH ST PSYCH,1144,,,
MSH-MSDFP,Psychiatry,19 E 98TH ST PSYCH EXTERN SERVICES,63,,,
MSH-MSDFP,Psychiatry,19 E 98TH ST PSYCH POST DOC SERVICES,0,,,
MSH-MSDFP,Anesthesiology-Pain Mgmt,200 W 57TH PAIN/ANESTHESIOLOGY,1944,,,
MSH-MSDFP,Anesthesiology-Pain Mgmt,200 W 57TH PAIN/FLUOROSCOPY,810,,,
MSH-MSDFP,ENT-Otolaryngology,2052 RICHMOND ENT OTOLARYN,2532,,,
MSH-MSDFP,Transplant Institute,2052 RICHMOND RMTI LIVER DISEASE,35,,,
MSH-MSDFP,Community and Preventive Medicine,2052 RICHMOND WTC PREV MED,1013,,,
MSH-MSDFP,Psychiatry,2052 RICHMOND WTC PSYCH,470,,,
MSH-MSDFP,Occupational Health,222 ROUTE 59 OCCUPATIONAL HEALTH,1141,,,
MSH-MSDFP,Cardiology,2249 2ND AVE CARD,0,,,
MSH-MSDFP,Plastic Surgery,230 2ND AVE SURGERY,651,,,NOT IN AMB LIST
MSH-MSDFP,Surgery,234 E 85 SURG BARIATRIC,0,,,
MSH-MSDFP,Cardiology,234 E 85TH CARD ENDO,525,,,
MSH-MSDFP,Cardiology,234 E 85TH CARD REHAB,1612,,,
MSH-MSDFP,Cardiology,234 E 85TH CARDIOLOGY,365,,,
MSH-MSDFP,Pulmonary Disease and Critical Care,234 E 85TH PULMONARY,0,,,
MSH-MSDFP,Cardiology,234 E 85TH ST CARDIOLOGY,1501,,,
MSH-MSDFP,Dermatology,234 E 85TH ST DERM,4130,,,
MSH-MSDFP,Endocrinology,234 E 85TH ST ENDO,402,,,
MSH-MSDFP,ENT-Otolaryngology,234 E 85TH ST ENT,3565,,,
MSH-MSDFP,Internal Medicine,234 E 85TH ST IM,4379,,,
MSH-MSDFP,Internal Medicine,234 E 85TH ST IM 6FL,6890,,,
MSH-MSDFP,Cardiology,234 E 85TH ST NUCLEAR,0,,,
MSH-MSDFP,Ophthalmology,234 E 85TH ST NYEE MSH OPTH,2574,,,
MSH-MSDFP,OB/Gyn,234 E 85TH ST OB/GYN,3284,,,
MSH-MSDFP,Pediatrics,234 E 85TH ST PEDS GEN,1936,,,
MSH-MSDFP,Urology,234 E 85TH ST URO 1FL,121,,,
MSH-MSDFP,Surgery,234 E 85TH SURG VAS,38,,,
MSH-MSDFP,Endocrinology,234 EAST 85TH ST DIABETES ALLIANCE,39,,,
MSH-MSDFP,Internal Medicine,241 E 86TH ST INTERNAL MEDICINE,1551,,,
MSH-MSDFP,ENT-Otolaryngology,244 WESTCHESTER AVE ENT,393,,,
MSH-MSDFP,ENT-Otolaryngology,244 WESTCHESTER ENT,146,,,
MSH-MSDFP,Neurosurgery,25-10 30TH AVE CEREBROVASCULAR STROKE CENTER,0,NETWORK ,,NOT IN AMB LIST/F/U
MSH-MSDFP,General Surgery,25-20 30TH AVE BARIATRIC SURGERY,432,NETWORK ,,NOT IN AMB LIST/F/U
MSH-MSDFP,Pediatric Cardiology,2637 BROADWAY PEDS CARDIO,0,,,DEACTIVATE?
MSH-MSDFP,Orthopedics,2800 MARCUS ORT SPINE,366,,,
MSH-MSDFP,Allergy,300 CADMAN PLAZA ALLERGY,476,,,
MSH-MSDFP,Cardiology,300 CADMAN PLAZA CARDIOLOGY,720,,,
MSH-MSDFP,Dermatology,300 CADMAN PLAZA DERMATOLOGY,0,,,
MSH-MSDFP,Endocrinology,300 CADMAN PLAZA ENDOCRINOLOGY,446,,,
MSH-MSDFP,Family Medicine,300 CADMAN PLAZA FAMILY MEDICINE,1882,,,
MSH-MSDFP,Anesthesiology-Pain Mgmt,300 CADMAN PLAZA FLUOROSCOPY,86,,,
MSH-MSDFP,Internal Medicine,300 CADMAN PLAZA INTERNAL MEDICINE,6914,,,
MSH-MSDFP,Nephrology,300 CADMAN PLAZA NEPHROLOGY,283,,,
MSH-MSDFP,Neurology,300 CADMAN PLAZA NEUROLOGY,230,,,
MSH-MSDFP,Neurosurgery,300 CADMAN PLAZA NEUROSURGERY,13,,,
MSH-MSDFP,OB/Gyn,300 CADMAN PLAZA OB/GYN,1785,,,
MSH-MSDFP,Orthopedics,300 CADMAN PLAZA ORTHOPAEDICS,973,,,
MSH-MSDFP,Anesthesiology-Pain Mgmt,300 CADMAN PLAZA PAIN MANAGEMENT,191,,,
MSH-MSDFP,Pediatrics,300 CADMAN PLAZA PEDIATRICS,3913,,,
MSH-MSDFP,Pulmonary Disease and Critical Care,300 CADMAN PLAZA PULMONARY,0,,,
MSH-MSDFP,Physical Medicine and Rehab,300 CADMAN PLAZA REHAB MED,285,,,
MSH-MSDFP,Rheumatology,300 CADMAN PLAZA RHEUMATOLOGY,104,,,
MSH-MSDFP,Surgery,300 CADMAN PLAZA SURGERY,0,,,
MSH-MSDFP,Thoracic Surgery,300 CADMAN PLAZA THOR SURG,38,,,
MSH-MSDFP,Transplant Nephrology,300 CADMAN PLAZA TRANSPLANT KIDNEY,48,,,
MSH-MSDFP,Transplant Institute,300 CADMAN PLAZA TRANSPLANT LIVER,44,,,
MSH-MSDFP,Transplant Institute,300 CADMAN PLAZA TRANSPLANT LIVER DISEASE,126,,,
MSH-MSDFP,Urgent Care,300 CADMAN PLAZA URGENT CARE,1358,,,
MSH-MSDFP,Urology,300 CADMAN PLAZA UROLOGY,259,,,
MSH-MSDFP,Surgery,300 CADMAN PLAZA VAS SURG,58,,,
MSH-MSDFP,Anesthesiology-Pain Mgmt,300 CADMAN PLAZA WEST PAIN MANAGEMENT,0,,,
MSH-MSDFP,Psychiatry,345 E 102ND WTC PSYCH,4426,,,
MSH-MSDFP,Orthopedics,360 ESSEX ORTHO TRAUMA,0,,,DEACTIVATE?
MSH-MSDFP,Transplant Institute,3916 PRINCE LVR SURG,56,,,
MSH-MSDFP,Urology,445 E 77ST UROLOGY,702,,,
MSH-MSDFP,OB/Gyn,465 OCEAN PARKWAY OB/GYN,510,,,
MSH-MSDFP,OB/Gyn,47 E 88TH ST OB/GYN ASSOC,0,,,DEACTIVATE?
MSH-MSDFP,Dermatology,5 E 98  DERMATOLOGY,8300,,,
MSH-MSDFP,ENT-Otolaryngology,5 E 98  ENT OTOLARYNGOLOGY,5891,,,
MSH-MSDFP,Hematology/Oncology,1468 MADISON  HEMOPHILIA,20,,Hematology,
MSH-MSDFP,Maternal Fetal Medicine,5 E 98  MFM,4110,,,
MSH-MSDFP,Neurology,5 E 98  MOVEMENT DISORDER,932,,,
MSH-MSDFP,Neurology,5 E 98  MULTIPLE SCLEROSIS,1712,,,
MSH-MSDFP,Neurology,5 E 98  NEUROLOGY,4122,,,
MSH-MSDFP,Neurosurgery,5 E 98  NEUROSURG,422,,,
MSH-MSDFP,Neurosurgery,5 E 98  NEUROSURG 7FL,437,,,
MSH-MSDFP,Neurosurgery,5 E 98  NEUROSURG ENDOVAS,0,,,DEACTIVATE?
MSH-MSDFP,OB/Gyn,5 E 98  OB/GYN,6679,,,
MSH-MSDFP,Orthopedics,5 E 98  ORTHO JOINT,1233,,,
MSH-MSDFP,Orthopedics,5 E 98  ORTHO PHYSIATRY,3299,,,
MSH-MSDFP,Orthopedics,5 E 98  ORTHO SPINE,2094,,,
MSH-MSDFP,Orthopedics,5 E 98  ORTHO TRAUMA,566,,,
MSH-MSDFP,Orthopedics,5 E 98  ORTHOPEDICS,5625,,,
MSH-MSDFP,Anesthesiology-Pain Mgmt,5 E 98  PAIN/ANESTHESIOLOGY,1484,,,
MSH-MSDFP,Peds Allergy,5 E 98  PEDS ALLERGY,1524,,,
MSH-MSDFP,Peds Child Development,5 E 98  PEDS CHILD DEVELOP,340,,,
MSH-MSDFP,Peds Endocrinology,5 E 98  PEDS ENDO ASD,237,,,
MSH-MSDFP,Pediatrics,5 E 98  PEDS GENERAL,2602,,,
MSH-MSDFP,Peds Gastroenterology,5 E 98  PEDS GI,449,,,
MSH-MSDFP,Peds Infectious Disease,5 E 98  PEDS ID,34,,,
MSH-MSDFP,Peds Nephrology,5 E 98  PEDS NEPHROLOGY,657,,,
MSH-MSDFP,Peds Neurology,5 E 98  PEDS NEUROLOGY,127,,,
MSH-MSDFP,Peds Pulmonology,5 E 98  PEDS PULMONARY,630,,,
MSH-MSDFP,Neuropsychology,5 E 98  REHAB NEUROPSYCH,547,,,
MSH-MSDFP,Transplant Institute,5 E 98  RMTI INTESTINAL,59,,,
MSH-MSDFP,Transplant Institute,5 E 98  RMTI LIVER DISEASE,1501,,,
MSH-MSDFP,Transplant Institute,5 E 98  RMTI LIVER SURGERY,875,,,
MSH-MSDFP,Transplant Institute,5 E 98  RMTI PEDS LIVER,315,,,
MSH-MSDFP,Surgery,5 E 98  SURG BARIATRIC,1350,,,
MSH-MSDFP,Surgery,5 E 98  SURG COLORECTAL,2518,,,
MSH-MSDFP,Surgery,5 E 98  SURG ENDO PHYS,295,,,
MSH-MSDFP,Surgery,5 E 98  SURG HEPATOBILIARY,76,,,
MSH-MSDFP,Surgery,5 E 98  SURG PEDIATRIC,271,,,
MSH-MSDFP,Surgery,5 E 98  SURG PLASTIC,2274,,,
MSH-MSDFP,Surgery,5 E 98  SURG VASCULAR,1568,,,
MSH-MSDFP,Transplant Institute,5 E 98  TRAN INST SM BOWEL,65,,,
MSH-MSDFP,Transplant Institute,5 E 98  TRANS INSTI KIDNEY,3661,,,
MSH-MSDFP,Transplant Institute,5 E 98  TRANS INSTI LIVER,2855,,,
MSH-MSDFP,Transplant Institute,5 E 98  TRANS INSTI PEDS,89,,,
MSH-MSDFP,Transplant Institute,5 E 98  TRANS LIVING DONOR,777,,,
MSH-MSDFP,Urology,5 E 98  UROLOGY,6199,,,
MSH-MSDFP,Anesthesiology-Pain Mgmt,5 E 98 4TH FL PAIN/FLUOROSCOPY,267,,,
MSH-MSDFP,Anesthesiology-Pain Mgmt,5 E 98 6TH FL PAIN/FLUOROSCOPY,615,,,
MSH-MSDFP,Immunology,5 E 98 CLINICAL IMMUNOLOGY,2361,,,
MSH-MSDFP,Endocrinology,5 E 98 ENDOCRINOLOGY,4255,,,
MSH-MSDFP,Gastroenterology,5 E 98 GASTROENTEROLOGY,1418,,,
MSH-MSDFP,Infectious Diseases/HIV,5 E 98 INFECTIOUS DISEASE,922,,,
MSH-MSDFP,Vascular and Interventional Radiology,5 E 98 INTERVENTIONAL RADIOLOGY,701,,,
MSH-MSDFP,Neurology,5 E 98 MULTIPLE SCLEROSIS WELLNESS,157,,,
MSH-MSDFP,Neurology,5 E 98 NEURO PALLIATIVE CARE,33,,,
MSH-MSDFP,Neurosurgery,5 E 98 NEUROSURGERY REHAB,9,,,
MSH-MSDFP,Pediatrics,5 E 98 PEDS RHEUM,179,,,
MSH-MSDFP,Physical Medicine and Rehab,5 E 98 REHAB FLUOROSCOPY,1263,,,
MSH-MSDFP,Physical Medicine and Rehab,5 E 98 REHAB MEDICINE,821,,,
MSH-MSDFP,Nephrology,5 E 98 RENAL/NEPHROLOGY,1422,,,
MSH-MSDFP,Rheumatology,5 E 98 RHEUMATOLOGY,0,,,DEACTIVATE?
MSH-MSDFP,Pulmonary Disease and Critical Care,5 E 98 SLEEP,808,,,
MSH-MSDFP,Genetics,5 E 98 ST GENOMIC MEDICINE,16,,,
MSH-MSDFP,Neurosurgery,5 E 98 ST NEUROSURGERY PEDS,88,,,
MSH-MSDFP,Physical Medicine and Rehab,5 E 98 ST REHAB ATC,266,,,
MSH-MSDFP,Surgery,5 E 98 SURG GENERAL,1770,,,
MSH-MSDFP,Psychiatry,5 E 98 TRANS INSTI PSYCH,78,,,
MSH-MSDFP,OB/Gyn,5 E 98TH ST SOCIAL WORK,16,,,
MSH-MSDFP,Psychiatry,50 E 98TH ST PSYCH STM,1615,,,
MSH-MSDFP,Orthopedics,500 GRAND ORTHO JOINT,38,,,
MSH-MSDFP,Orthopedics,500 GRAND ORTHO SPINE,59,,,
MSH-MSDFP,Surgery,5030 BRDWY SURG VASC,337,,,
MSH-MSDFP,Cardiology,5030 BROADWAY CARD,10,,,
MSH-MSDFP,Urgent Care,5030 BROADWAY URGENT CARE,23,,,
MSH-MSDFP,Cardiology,53 E 124 CARDIOLOGY,55,,,
MSH-MSDFP,Psychiatry,53-55 E 96TH PSYCH EWDO,2158,,,
MSH-MSDFP,Psychiatry,53-55 E 96TH ST PSYCH,11,,,
MSH-MSDFP,Psychiatry,57-59 EAST 96TH STREET PSYCH,51,,,
MSH-MSDFP,Psychiatry,57-59 EAST 96TH STREET PSYCH FPA CENTRALIZED,354,,,
MSH-MSDFP,Liver,579 FRANKLIN LIVER DIS,0,,,DEACTIVATE?
MSH-MSDFP,Hepatology,579 FRANKLIN RMTI LIVER DISEASE,144,,,
MSH-MSDFP,Liver,579 FRANKLIN TRANS LIV,1,,,DEACTIVATE?
MSH-MSDFP,Urology,625 MADISON AVE UROLOGY,5031,,,
MSH-MSDFP,Dermatology,638 COLUMBUS AVE DERM,102,,,
MSH-MSDFP,Surgery,638 COLUMBUS AVE SURG VASC,392,,,
MSH-MSDFP,Urgent Care,638 COLUMBUS AVE URGENT CARE,2404,,,
MSH-MSDFP,Cardiology,672 UTICA AVE CARDIOLOGY,23,,,
MSH-MSDFP,Cardiology,731 CONEY ISLAND CARD,286,,,
MSH-MSDFP,Internal Medicine,FPA BH PRIMARY CARE,0,,,DEACTIVATE?
MSH-MSDFP,Thoracic Surgery,FPA CARDIOTHORACIC SURGERY,0,,,DEACTIVATE?
MSH-MSDFP,Vascular and Interventional Radiology,FPA INTERVENTIONAL RAD,0,,,DEACTIVATE?
MSH-MSDFP,Surgery,FPA SURG AMB SUITES,0,,,DEACTIVATE?
MSH-MSDFP,*No specialty,FPA-DEPARTMENT,0,,,DEACTIVATE?
MSH-MSDFP,Internal Medicine,MSH CONDITION MANAGEMENT,242,,,F/U
MSH-MSDFP,Cardiology,RS ALAN HECHT,0,,,DEACTIVATE?
MSH-MSDFP,Cardiology,RS MS CARDIAC ARR CONS,0,,,DEACTIVATE?
MSHP,Behavioral Health,11 MAD AVE BH CS,0,,,
MSHP,Behavioral Health,11 MADISON AVE BH,0,,,
MSHP,Internal Medicine,11 MADISON AVE INTERNAL MED,0,,,
MSHP,Physical Therapy,11 MADISON AVENUE PT,0,,,
MSHP,Internal Medicine,400 JEFFERSON PARK INTERNAL MEDICINE,0,,,
MSHP,Behavioral Health,55 HUDSON YARDS BEHAVIORAL HEALTH,0,,,
MSHP,Cardiology,55 HUDSON YARDS CARDIOLOGY,0,,,
MSHP,Internal Medicine,55 HUDSON YARDS COVID TESTING CENTER,0,,,
MSHP,Dermatology,55 HUDSON YARDS DERM,0,,,
MSHP,Gynecology,55 HUDSON YARDS GYNECOLOGY,0,,,
MSHP,Internal Medicine,55 HUDSON YARDS INTERNAL MEDICINE,0,,,
MSHP,Physical Therapy,55 HUDSON YARDS PT,0,,,
MSHP,Pulmonary Disease and Critical Care,55 HUDSON YARDS PULMONARY,0,,,
MSHP,Internal Medicine,745 SEVENTH AVE INTERNAL MEDICINE,0,,,
MSM,Behavioral Health,1090 AMST AVE 15TH FL CBCS,1916,,,
MSM,Psychiatry,1090 AMST AVE 17TH FL CHILD CLINIC,1359,,,
MSM,Gastroenterology,1090 AMST AVE GASTROENTEROLOGY,0,,,DEACTIVATE?
MSM,Nephrology,1090 AMST AVE NEPHROLOGY,0,,,DEACTIVATE?
MSM,Neurology,1090 AMST AVE NEUROLOGY,418,,,
MSM,Neurosurgery,1090 AMST AVE NEUROSURGERY,149,,,
MSM,OB/Gyn,1090 AMST AVE OBGYN,0,,,DEACTIVATE?
MSM,Psychiatry,1090 AMST AVE PSYCHIATRY,1724,,,
MSM,Pulmonary Disease and Critical Care,1090 AMST AVE PULMONOLOGY,0,,,DEACTIVATE?
MSM,Physical Medicine and Rehab,1090 AMST AVE REHAB MEDICINE,75,,,
MSM,Urology,1090 AMST AVE UROLOGY,2015,,,
MSM,Vascular Surgery,1090 AMST SURG VASCULAR,0,,,DEACTIVATE?
MSM,Endocrinology,1111 AMST AVE ENDOCRINOLOGY,0,,,DEACTIVATE?
MSM,Gerontology,1111 AMST AVE GERIATRICS,1246,,,
MSM,Behavioral Health,1111 AMST AVE MOBILE CRISIS,94,,,
MSM,Cardiology,1111 AMST ECHO,3001,,,
MSM,Pulmonary Disease and Critical Care,1111 AMST PFT LAB,298,,,
MSM,Internal Medicine,234 CENTRAL PARK WEST INTERNAL MEDICINE,2021,,,
MSM,Cardiology,2360 AMSTERDAM AVE CARDIOLOGY,467,,,
MSM,Surgery,2360 AMSTRDAM SURG VAS,15,,,
MSM,Surgery,2360 AMSTRDM SURG BARI,34,,,
MSM,Gastroenterology,2771 FREDERICK DOUGLAS GASTROENTEROLOGY,0,,,DEACTIVATE?
MSM,Internal Medicine,2771 FREDERICK DOUGLAS INTERNAL MEDICINE,2596,,,
MSM,Urology,286 FT WASHINGTON UROLOGY,760,,,
MSM,Vascular Surgery,355 BARD AVE CARDIO SURG,5,,,NETWORK?
MSM,Sleep Medicine,374 W 125 ST PULMONARY/SLEEP,0,,,DEACTIVATE?
MSM,Behavioral Health,411 WEST 114TH SREET 1ST ADULT CLINIC CAC,0,,,DEACTIVATE?
MSM,Behavioral Health,411 WEST 114TH ST 2ND FL CARES / AADP,2231,,,
MSM,Behavioral Health,411 WEST 114TH ST 2ND FL CARES / CAPA MH,510,,,
MSM,Behavioral Health,411 WEST 114TH ST 2ND FL CARES / CAPA SA,1050,,,
MSM,Behavioral Health,411 WEST 114TH STREET 3RD-ADULT CLINIC OPC,8200,,,
MSM,Behavioral Health,411 WEST 114TH STREET CHILD CLINIC,2630,,,
MSM,Rheumatology,440 W 114 ARTHRITIS CLINIC,223,,,
MSM,Orthopedics,440 W 114 BACK AND NECK CLINIC,0,,,DEACTIVATE?
MSM,Thoracic Surgery,440 W 114 CARD SURG,479,,,
MSM,Cardiology,440 W 114 CARDIO,4813,,,
MSM,Cardiology,440 W 114 CARDIO DIAGNOSTICS,0,,,DEACTIVATE?
MSM,Cardiology,440 W 114 CARDIO HOLTER,192,,,
MSM,Cardiology,440 W 114 CARDIO REMOTE DEVICE,3216,,,
MSM,Dermatology,440 W 114 DERMATOLOGY CLINIC,447,,,
MSM,Cardiology,440 W 114 ECHO DIAGNOSTIC,0,,,DEACTIVATE?
MSM,Endocrinology,440 W 114 ENDOCRINE CLINIC,467,,,
MSM,Gerontology,440 W 114 GERIATRIC CLINIC,0,,,DEACTIVATE?
MSM,Gastroenterology,440 W 114 GI CLINIC,188,,,
MSM,Orthopedics,440 W 114 HAND CLINIC,0,,,DEACTIVATE?
MSM,Orthopedics,440 W 114 HAND CLINIC,303,,,
MSM,Infectious Diseases/HIV,440 W 114 IAM,3485,,,
MSM,Infectious Diseases/HIV,440 W 114 INFECTIOUS DISEASE CLINIC,283,,,
MSM,Orthopedics,440 W 114 JOINTS CLINIC,74,,,
MSM,Internal Medicine,440 W 114 LAB CLINIC,93,,,
MSM,Liver,440 W 114 LIVER CLINIC,160,,,
MSM,Nephrology,440 W 114 NEPHROLOGY/RENAL CLINIC,101,,,
MSM,Neurology,440 W 114 NEUROLOGY CLINIC,336,,,
MSM,Neurosurgery,440 W 114 NEUROSURGERY CLINIC,87,,,
MSM,Endocrinology,440 W 114 NUTRITION CLINIC,0,,,DEACTIVATE?
MSM,Research,440 W 114 NYLAG CLINIC,0,,,DEACTIVATE?
MSM,Ophthalmology,440 W 114 OPHTHALMOLOGY CLINIC,1416,,,
MSM,Orthopedics,440 W 114 ORTHO CLINIC,749,,,
MSM,Anesthesiology-Pain Mgmt,440 W 114 PAIN MNGMT CLINIC,158,,,
MSM,Podiatry,440 W 114 PODIATRY CLINIC,583,,,
MSM,Pulmonary Disease and Critical Care,440 W 114 PULMONARY CLINIC,678,,,
MSH-MSDFP,Hematology/Oncology,5 E 98  HEMOPHILIA,54,,Hematology,
MSM,Pulmonary Disease and Critical Care,440 W 114 SMOKING CESSATION CLINIC,23,,,
MSM,Orthopedics,440 W 114 SPINE CLINIC,37,,,
MSM,Surgery,440 W 114 ST ACC6 SURGICAL ONCOLOGY,271,,,
MSM,Surgery,440 W 114 SURG BARIATRIC,2379,,,
MSM,Surgery,440 W 114 SURG COLORECTAL,155,,,
MSM,General Surgery,440 W 114 SURG GENERAL,309,,,
MSM,Plastic Surgery,440 W 114 SURG PLASTIC,83,,,
MSM,Surgery,440 W 114 SURG PLASTIC CLINIC,64,,,
MSM,Vascular Surgery,440 W 114 SURG VASC,806,,,
MSM,Vascular Surgery,440 W 114 SURG VASC CVI,1088,,,
MSM,General Surgery,440 W 114 SURGERY CLINIC,35,,,
MSM,Thoracic Surgery,440 W 114 THORACIC SURG,32,,,
MSM,Urology,440 W 114 UROLOGY CLINIC,721,,,
MSM,Vascular Surgery,440 W 114 VASC SURG DIAG,0,,,DEACTIVATE?
MSM,Infectious Diseases/HIV,440 W 114TH IAM,0,,,DEACTIVATE?
MSM,Dentistry,440 W 114TH IAM DENTAL,295,,,
MSM,Allergy,440 W 114TH ST ACC6 ALLERGY,46,,,
MSM,Endocrinology,440 W 114TH ST ACC6 ENDOCRINOLOGY,1891,,,
MSM,Gastroenterology,440 W 114TH ST ACC6 GASTROENTEROLOGY,756,,,
MSM,Infectious Diseases/HIV,440 W 114TH ST ACC6 INFECTIOUS DISEASE,81,,,
MSM,Nephrology,440 W 114TH ST ACC6 NEPHROLOGY,451,,,
MSM,Pulmonary Disease and Critical Care,440 W 114TH ST ACC6 PULMONARY,1088,,,
MSM,Rheumatology,440 W 114TH ST ACC6 RHEUMATOLOGY,463,,,
MSM,Cardiology,521 W 181ST CARDIOLOGY,1219,,,
MSM,Internal Medicine,638 COLUMBUS AVE INTERNAL MEDICINE,3128,,,
MSM,Internal Medicine,638 COLUMBUS AVE PRIMARY CARE,0,,,DEACTIVATE?
MSM,Surgery,718 TEANECK ROAD SURG COLORECTAL,81,,,F/U / NOT IN AMB LIST
MSM,Cardiology,CLARK CARDIAC CATH LAB,695,,,NOT IN AMB LIST
MSM,Cardiology-Electrophysiology,CLARK EP LAB,569,,,NOT IN AMB LIST
MSM,Vascular and Interventional Radiology,CLARK INTERVENTIONAL RADIOLOGY,77,,,NOT IN AMB LIST
MSM,Behavioral Health,MS SLR BH OPC 411W 114,0,,,DEACTIVATE?
MSM,General Surgery,MS SLR PRI SURG 1111 AMSTERDAM AVE SEC D,0,,,DEACTIVATE?
MSM,Surgery,MS SLR PRI SURG 1111 AMSTERDAM AVE SEC D,0,,,DEACTIVATE?
MSM,Neurology,MSM NEUROLOGY DIAGNOSTICS,35,,,
MSQ,*No specialty,25-20 30TH AVE INFUSION,0,,,DEACTIVATE?
MSQ,*No specialty,25-20 30TH AVE LAB,0,,,DEACTIVATE?
MSQ,*No specialty,25-20 30TH AVE PFT,0,,,DEACTIVATE?
MSQ,Social Services,31-60 21 ST COLLABORATIVE CARE CLINIC,0,,,DEACTIVATE?
MSQ,Vascular Surgery,36-36 33RD ST VASCULAR,0,,,DEACTIVATE?
MSQ,*No specialty,MSQ AMB SURG PRE TEST,0,,,DEACTIVATE?
MSQ,Cardiology,MSQ CARDIAC CATH LAB,0,,,DEACTIVATE?
MSQ,*No specialty,MSQ CEREBRAL VASCULAR AMB,0,,,DEACTIVATE?
MSQ,*No specialty,MSQ EEG,0,,,DEACTIVATE?
MSUS,Allergy,10 UNION SQ ALLERGY,400,,,
MSUS,Internal Medicine,10 UNION SQ E  PRIMARY CARE,0,,,DEACTIVATE?
MSUS,Speech Therapy,10 UNION SQ E  SPEECH THERAPY,635,,,
MSUS,Internal Medicine,10 UNION SQ E 3N LAB,14,,,
MSUS,Allergy,10 UNION SQ E ALLERGY,0,,,DEACTIVATE?
MSUS,Cardiology,10 UNION SQ E CARDIO,8477,,,
MSUS,Internal Medicine,10 UNION SQ E COVID 19 COE,697,,,
MSUS,Internal Medicine,10 UNION SQ E COVID-19 CENTER OF EXCELLENCE,0,,,DEACTIVATE?
MSUS,Pulmonary Disease and Critical Care,10 UNION SQ E CYSTIC FIBROSIS,290,,,
MSUS,Dermatology,10 UNION SQ E DERM CLINIC,1888,,,
MSUS,Dermatology,10 UNION SQ E DERMATOLOGY,3940,,,
MSUS,Endocrinology,10 UNION SQ E ENDOCRINOLOGY,3003,,,
MSUS,ENT-Otolaryngology,10 UNION SQ E ENT,545,,,
MSUS,ENT-Otolaryngology,10 UNION SQ E ENT OMS,4759,,,
MSUS,Cytopathology,10 UNION SQ E FINE NEEDLE ASPIRATION,173,,,
MSUS,Geriatrics,10 UNION SQ E GERI HOME CERTS,20,,,
MSUS,Geriatrics,10 UNION SQ E GERIATRICS,1715,,,
MSUS,Infectious Diseases/HIV,10 UNION SQ E INFECTIOUS DISEASE,1204,,,
MSUS,Maternal Fetal Medicine,10 UNION SQ E MFM,984,,,
MSUS,Maternal Fetal Medicine,10 UNION SQ E MFM CLINIC,389,,,
